,Title,Sales,Platform(s),Initial  release date,Developer(s),Publisher(s)
0,Minecraft,"200,000,000",Multi-platform,"November 18, 2011[b]",Mojang Studios,Mojang Studios
1,Grand Theft Auto V,"130,000,000",Multi-platform,17-Sep-13,Rockstar North,Rockstar Games
2,Tetris (EA),"100,000,000",Mobile,12-Sep-06,EA Mobile,Electronic Arts
3,Wii Sports,"82,900,000",Wii,19-Nov-06,Nintendo EAD,Nintendo
4,PlayerUnknown's Battlegrounds,"60,000,000",Multi-platform,20-Dec-17,PUBG Corporation,PUBG Corporation
5,Super Mario Bros.,"48,240,000",Multi-platform,13-Sep-85,Nintendo,Nintendo
6,Pokémon Red / Green / Blue / Yellow,"47,520,000",Multi-platform,27-Feb-96,Game Freak,Nintendo
7,Wii Fit and Wii Fit Plus,"43,800,000",Wii,1-Dec-07,Nintendo EAD,Nintendo
8,Tetris (Nintendo),"43,000,000",Game Boy / NES,14-Jun-89,Nintendo R&D1,Nintendo
9,Pac-Man,"39,098,000",Multi-platform,Jul-80,Namco,Namco
11,Mario Kart 8 / Deluxe,"33,220,000",Wii U / Switch,29-May-14,Nintendo EAD,Nintendo
12,Wii Sports Resort,"33,130,000",Wii,25-Jun-09,Nintendo EAD,Nintendo
13,Red Dead Redemption 2,"31,000,000",Multi-platform,26-Oct-18,Rockstar Studios,Rockstar Games
14,New Super Mario Bros.,"30,800,000",Nintendo DS,15-May-06,Nintendo EAD,Nintendo
15,Terraria,"30,300,000",Multi-platform,16-May-11,Re-Logic,Re-Logic / 505 Games
16,New Super Mario Bros. Wii,"30,300,000",Wii,11-Nov-09,Nintendo EAD,Nintendo
17,The Elder Scrolls V: Skyrim,"30,000,000",Multi-platform,11-Nov-11,Bethesda Game Studios,Bethesda Softworks
18,Diablo III and Reaper of Souls,"30,000,000",Multi-platform,16-May-12,Blizzard Entertainment,Blizzard Entertainment
19,Pokémon Gold / Silver / Crystal,"29,490,000",Game Boy Color,21-Nov-99,Game Freak,Nintendo
20,Duck Hunt,"28,300,000",NES,21-Apr-84,Nintendo R&D1,Nintendo
21,Wii Play,"28,020,000",Wii,2-Dec-06,Nintendo EAD,Nintendo
22,The Witcher 3 / Hearts of Stone / Blood and Wine,"28,000,000",Multi-platform,19-May-15,CD Projekt Red,CD Projekt
23,Grand Theft Auto: San Andreas,"27,500,000",Multi-platform,26-Oct-04,Rockstar North,Rockstar Games
24,Call of Duty: Modern Warfare 3,"26,500,000",Multi-platform,8-Nov-11,Infinity Ward / Sledgehammer,Activision
25,Call of Duty: Black Ops,"26,200,000",Multi-platform,9-Nov-10,Treyarch,Activision
26,Grand Theft Auto IV,"25,000,000",Multi-platform,29-Apr-08,Rockstar North,Rockstar Games
27,Pokémon Sun / Moon / Ultra Sun / Ultra Moon,"24,950,000",Nintendo 3DS,18-Nov-16,Game Freak,Nintendo / The Pokémon Company
28,Pokémon Diamond / Pearl / Platinum,"24,730,000",Nintendo DS,28-Sep-06,Game Freak,Nintendo / The Pokémon Company
29,Call of Duty: Black Ops II,"24,200,000",Multi-platform,12-Nov-12,Treyarch,Activision
30,Kinect Adventures!,"24,000,000",Xbox 360,4-Nov-10,Good Science Studio,Xbox Game Studios
31,FIFA 18,"24,000,000",Multi-platform,29-Sep-17,EA Canada,Electronic Arts
32,Sonic the Hedgehog,"23,982,960",Multi-platform,23-Jun-91,Sonic Team,Sega
33,Nintendogs,"23,960,000",Nintendo DS,21-Apr-05,Nintendo EAD,Nintendo
34,Mario Kart DS,"23,600,000",Nintendo DS,14-Nov-05,Nintendo EAD,Nintendo
35,Call of Duty: Modern Warfare 2,"22,700,000",Multi-platform,10-Nov-09,Infinity Ward,Activision
36,Pokémon Ruby / Sapphire / Emerald,"22,540,000",Game Boy Advance,21-Nov-02,Game Freak,Nintendo / The Pokémon Company
37,Borderlands 2,"22,000,000",Multi-platform,18-Sep-12,Gearbox Software,2K Games
38,Super Mario World,"20,972,500",Multi-platform,21-Nov-90,Nintendo EAD,Nintendo
39,Frogger,"20,000,000",Multi-platform,5-Jun-81,Konami,Sega
40,Lemmings,"20,000,000",Multi-platform,14-Feb-91,DMA Design,Psygnosis
41,Grand Theft Auto: Vice City,"20,000,000",Multi-platform,27-Oct-02,Rockstar North,Rockstar Games
42,The Last of Us,"20,000,000",PS3 / PS4,14-Jun-13,Naughty Dog,Sony Computer Entertainment
43,The Legend of Zelda: Breath of the Wild,"19,080,000",Switch / Wii U,3-Mar-17,Nintendo EPD,Nintendo
44,Brain Age,"19,010,000",Nintendo DS,19-May-05,Nintendo SPD,Nintendo
45,Super Mario Bros. 3,"19,000,000",Multi-platform,23-Oct-88,Nintendo,Nintendo
46,Call of Duty: Ghosts,"19,000,000",Multi-platform,5-Nov-13,Infinity Ward,Activision
47,Super Smash Bros. Ultimate,"18,840,000",Nintendo Switch,7-Dec-18,Bandai Namco Studios / Sora Ltd.,Nintendo
48,Mario Kart 7,"18,710,000",Nintendo 3DS,1-Dec-11,Nintendo EAD,Nintendo
49,Super Mario Land,"18,370,500",Multi-platform,21-Apr-89,Nintendo R&D1,Nintendo
50,Gran Turismo 4,"17,830,000",PS2 / PSP,28-Dec-04,Polyphony Digital,Sony Computer Entertainment
